Name,Price,Loan,Cards,Overdraft,Remarketing,C1_UC,C2_UC,C3_UC,C4_UC,C5_UC,C6_UC,C1_Elig,C2_Elig,C3_Elig,C4_Elig,C5_Elig,C6_Elig,C1_Mean_profit,C2_Mean_profit,C3_Mean_profit,C4_Mean_profit,C5_Mean_profit,C6_Mean_profit,C1_ROI,C2_ROI,C3_ROI,C4_ROI,C5_ROI,C6_ROI
Abader,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Labdar,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mandor,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lendor,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fera,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Sing,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lostia,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Quens,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Latka,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Valdez,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Links,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fords,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Inders,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Angor,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Allst,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlyt,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Noksar,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Simp,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lorem,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ipsum,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Datum,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mundum,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Entelechia,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Longs,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlynea,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dafnia,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tolkien,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ringer,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Eschia,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Laputa,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Totoro,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tokion,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Howl,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dante,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mugen,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Landa,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Michigo,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Bezeda,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Avra,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Antas,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lampe,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evge,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Renter,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mastora,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Langed,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
